AC_Name,AC_No,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
KUNNATHUR,118,2,ULLAS KOVOOR,Revolutionary Socialist Party,64326,2320,66646,41.4
KUNNATHUR,118,3,RAJIPRASAD,Bharatiya Janata Party,21121,639,21760,13.52
KUNNATHUR,118,4,R. SUKUMARAN,Anna Democratic Human Rights Movement Party of India,319,7,326,0.2
KUNNATHUR,118,5,ARUNKUMAR S ULIYACOVIL,Independent,310,15,325,0.2
KUNNATHUR,118,6,KOVOOR KUNJUMON,Independent,66807,2629,69436,43.13
KUNNATHUR,118,7,MANTHARA VELAYUDHAN,Independent,612,11,623,0.39
KUNNATHUR,118,8,NOTA,None of the Above,884,38,922,0.57
KOTTARAKKARA,119,1,K N BALAGOPAL,Communist Party of India  (Marxist),66612,2158,68770,45.98
KOTTARAKKARA,119,2,R RESMI,Indian National Congress,56127,1829,57956,38.75
KOTTARAKKARA,119,3,Adv. VAYAKKAL SOMAN,Bharatiya Janata Party,20710,513,21223,14.19
KOTTARAKKARA,119,4,USHA KOTTARAKKARA,Anna Democratic Human Rights Movement Party of India,453,7,460,0.31
KOTTARAKKARA,119,5,E. KUNJUMON,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),83,4,87,0.06
KOTTARAKKARA,119,6,JAINEENDRAN T,Shiv Sena,57,0,57,0.04
KOTTARAKKARA,119,7,V VENUGOPAL,Democratic Social Justice Party,86,10,96,0.06
KOTTARAKKARA,119,8,EYYAMKODU MANIKUTTAN,Independent,81,9,90,0.06
PATHANAPURAM,120,1,V.S. JITHIN DEV,Bharatiya Janata Party,12096,302,12398,9.05
PATHANAPURAM,120,2,JYOTHIKUMAR CHAMAKKALA,Indian National Congress,51350,1590,52940,38.63
PATHANAPURAM,120,3,P. KRISHNAMMAL,Marxist Communist Party of India (United),2062,29,2091,1.53
PATHANAPURAM,120,4,K.B. GANESH KUMAR,Kerala Congress (B),65304,1972,67276,49.09
PATHANAPURAM,120,5,ADV. FAIZY. M. PASHA,SOCIAL DEMOCRATIC PARTY OF INDIA,1179,13,1192,0.87
PATHANAPURAM,120,6,BAIJU PATHANAPURAM,Anna Democratic Human Rights Movement Party of India,395,16,411,0.3
PATHANAPURAM,120,7,AJI KADASSERY,Independent,247,7,254,0.19
PATHANAPURAM,120,8,NOTA,None of the Above,442,32,474,0.35
PUNALUR,121,1,ABDURAHIMAN RANDATHANI,Indian Union Muslim League,42448,923,43371,29.66
PUNALUR,121,2,AYOOR MURALI,Bharatiya Janata Party,19692,377,20069,13.72
PUNALUR,121,3,P S SUPAL,Communist Party of India,78323,2105,80428,54.99
PUNALUR,121,4,PRAKASH ANCHAL,Anna Democratic Human Rights Movement Party of India,397,10,407,0.28
PUNALUR,121,5,K MAHESH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),390,17,407,0.28
PUNALUR,121,6,THENMALA NAGARAJAN,Independent,254,10,264,0.18
PUNALUR,121,7,SHIBU M SKARIA,Independent,594,23,617,0.42
PUNALUR,121,8,NOTA,None of the Above,672,16,688,0.47
CHADAYAMANGALAM,122,1,J.Chinchurani,Communist Party of India,64754,2498,67252,45.69
CHADAYAMANGALAM,122,2,M.M.Naseer,Indian National Congress,51745,1829,53574,36.4
CHADAYAMANGALAM,122,3,Lalu,Bahujan Samaj Party,400,6,406,0.28
CHADAYAMANGALAM,122,4,Vishnu Pattathanam,Bharatiya Janata Party,21747,491,22238,15.11
CHADAYAMANGALAM,122,5,Archana Prajith,Welfare Party Of India,590,15,605,0.41
CHADAYAMANGALAM,122,6,Ratheesh Kadakkal,Anna Democratic Human Rights Movement Party of India,268,12,280,0.19
CHADAYAMANGALAM,122,7,Sharafath Mallam,SOCIAL DEMOCRATIC PARTY OF INDIA,1853,26,1879,1.28
CHADAYAMANGALAM,122,8,Shibu.K.Chadayamangalam,Independent,257,1,258,0.18
KUNDARA,123,1,J.Mercykutty Amma,Communist Party of India  (Marxist),69906,1976,71882,45.96
KUNDARA,123,2,P.C.Vishnunadh,Indian National Congress,74664,1741,76405,48.85
KUNDARA,123,3,R.Rahul,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),444,13,457,0.29
KUNDARA,123,4,Vanaja Vidyadharan,Bharath Dharma Jana Sena,5983,117,6100,3.9
KUNDARA,123,5,Vinod Bahuleyan,Rashtriya Janata Dal,169,3,172,0.11
KUNDARA,123,6,Shiju M Varghese,Democratic Social Justice Party,181,5,186,0.12
KUNDARA,123,7,Sibu Karamcodu,Anna Democratic Human Rights Movement Party of India,227,2,229,0.15
KUNDARA,123,8,Santhosh Adooran,Independent,252,8,260,0.17
KOLLAM,124,1,Adv. BINDHU KRISHNA,Indian National Congress,55035,1417,56452,43.27
KOLLAM,124,2,M Mukesh,Communist Party of India  (Marxist),56898,1626,58524,44.86
KOLLAM,124,3,REMANAN,Bahujan Samaj Party,282,8,290,0.22
KOLLAM,124,4,Sunil M,Bharatiya Janata Party,14029,223,14252,10.93
KOLLAM,124,5,BABY S,Anna Democratic Human Rights Movement Party of India,178,5,183,0.14
KOLLAM,124,6,NOTA,None of the Above,733,17,750,0.57
ERAVIPURAM,125,1,M. Noushad,Communist Party of India  (Marxist),69793,1780,71573,56.25
ERAVIPURAM,125,2,Babudivakaran,Revolutionary Socialist Party,42452,1000,43452,34.15
ERAVIPURAM,125,3,Mohanan Mayyanad,Bahujan Samaj Party,535,8,543,0.43
ERAVIPURAM,125,4,M. Unnikrishnan,Anna Democratic Human Rights Movement Party of India,424,6,430,0.34
ERAVIPURAM,125,5,Renjith Ravindran,Bharath Dharma Jana Sena,8353,115,8468,6.66
ERAVIPURAM,125,6,S. Sudhilal,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),205,8,213,0.17
ERAVIPURAM,125,7,Ayathil Riyas,SOCIAL DEMOCRATIC PARTY OF INDIA,1441,3,1444,1.13
ERAVIPURAM,125,8,N. Shihabudeen,Independent,183,4,187,0.15
CHATHANNUR,126,1,B. B. GOPAKUMAR,Bharatiya Janata Party,41305,785,42090,30.61
CHATHANNUR,126,2,G.S. JAYALAL,Communist Party of India,57529,1767,59296,43.12
CHATHANNUR,126,3,N. PEETHAMBARAKURUP,Indian National Congress,33206,1074,34280,24.93
CHATHANNUR,126,4,SUNU BHASKARAN,Bahujan Samaj Party,359,5,364,0.26
CHATHANNUR,126,5,SHANMUGHAN PARAVUR,Anna Democratic Human Rights Movement Party of India,518,6,524,0.38
CHATHANNUR,126,6,VARINJAM RAJEEV,Independent,122,13,135,0.1
CHATHANNUR,126,7,SETHU,Independent,168,4,172,0.13
CHATHANNUR,126,8,NOTA,None of the Above,616,26,642,0.47
VARKALA,127,1,Anu M.C,Bahujan Samaj Party,1920,28,1948,1.44
VARKALA,127,2,Adv. V Joy,Communist Party of India  (Marxist),66874,1942,68816,50.89
VARKALA,127,3,Adv. BRM Shafeer,Indian National Congress,49849,1146,50995,37.71
VARKALA,127,4,Aji S,Bharath Dharma Jana Sena,10957,257,11214,8.29
VARKALA,127,5,Anilkumar P,Democratic Human Rights Movement Party,455,5,460,0.34
VARKALA,127,6,Prince,Independent,615,43,658,0.49
VARKALA,127,7,Shefeer,Independent,313,10,323,0.24
VARKALA,127,8,NOTA,None of the Above,801,14,815,0.6
ATTINGAL,128,1,O S AMBIKA,Communist Party of India  (Marxist),67003,2895,69898,47.35
ATTINGAL,128,2,VIPINLAL VIDHYADHARAN,Bahujan Samaj Party,894,33,927,0.63
ATTINGAL,128,3,ADV. A SREEDHARAN,Revolutionary Socialist Party,35672,1266,36938,25.02
ATTINGAL,128,4,ADV. P SUDHEER,Bharatiya Janata Party,37455,807,38262,25.92
ATTINGAL,128,5,ASHA PRAKASH,Anna Democratic Human Rights Movement Party of India,332,7,339,0.23
ATTINGAL,128,6,AMBILI,Independent,178,13,191,0.13
ATTINGAL,128,7,NOTA,None of the Above,1032,39,1071,0.73
CHIRAYINKEEZHU,129,1,Anil Mangalapuram,Bahujan Samaj Party,1077,20,1097,0.76
CHIRAYINKEEZHU,129,2,B. S. Anoop,Indian National Congress,47402,1215,48617,33.51
CHIRAYINKEEZHU,129,3,Ashanath G. S,Bharatiya Janata Party,30369,617,30986,21.36
CHIRAYINKEEZHU,129,4,V. Sasi,Communist Party of India,60701,1933,62634,43.17
CHIRAYINKEEZHU,129,5,Advocate G. Anil Kumar,Welfare Party Of India,605,11,616,0.42
CHIRAYINKEEZHU,129,6,Anoop Gangan,Independent,369,3,372,0.26
CHIRAYINKEEZHU,129,7,NOTA,None of the Above,750,8,758,0.52
NEDUMANGAD,130,1,Adv. G. R. ANIL,Communist Party of India,70245,2497,72742,47.54
NEDUMANGAD,130,2,Adv. J. R. PADMAKUMAR,Bharatiya Janata Party,26242,619,26861,17.56
NEDUMANGAD,130,3,P. S. PRASANTH,Indian National Congress,47877,1556,49433,32.31
NEDUMANGAD,130,4,BIPIN PALLIPURAM,Bahujan Samaj Party,553,10,563,0.37
NEDUMANGAD,130,5,IRSHAD KANYAKULANGARA,SOCIAL DEMOCRATIC PARTY OF INDIA,1867,17,1884,1.23
NEDUMANGAD,130,6,EBINU. S,Independent,132,14,146,0.1
NEDUMANGAD,130,7,THATHANKODU KANNAN,Independent,165,5,170,0.11
NEDUMANGAD,130,8,PRASANTH. C S/o CHANDRAN. K,Independent,145,15,160,0.1
VAMANAPURAM,131,1,Anad Jayan,Indian National Congress,61071,1824,62895,42.92
VAMANAPURAM,131,2,Adv. D. K. Murali,Communist Party of India  (Marxist),70468,2669,73137,49.91
VAMANAPURAM,131,3,Santhosh T.,Bahujan Samaj Party,542,10,552,0.38
VAMANAPURAM,131,4,Ajmal Ismail,SOCIAL DEMOCRATIC PARTY OF INDIA,2314,11,2325,1.59
VAMANAPURAM,131,5,Ashokan T.  Vamanapuram,Ambedkarite Party of India,294,7,301,0.21
VAMANAPURAM,131,6,Thazhava Sahadevan,Bharath Dharma Jana Sena,5511,92,5603,3.82
VAMANAPURAM,131,7,Attukal Aji,Independent,397,23,420,0.29
VAMANAPURAM,131,8,Navas C. M.,Independent,101,33,134,0.09
KAZHAKKOOTTAM,132,1,Kadakampally Surendran,Communist Party of India  (Marxist),62176,1514,63690,46.04
KAZHAKKOOTTAM,132,2,Kochumani,Bahujan Samaj Party,370,7,377,0.27
KAZHAKKOOTTAM,132,3,Dr. S. S. Lal,Indian National Congress,32198,797,32995,23.85
KAZHAKKOOTTAM,132,4,Sobha Surendran,Bharatiya Janata Party,39504,689,40193,29.06
KAZHAKKOOTTAM,132,5,Lalumon,Independent,111,1,112,0.08
KAZHAKKOOTTAM,132,6,V. Sasikumaran Nair,Independent,123,6,129,0.09
KAZHAKKOOTTAM,132,7,Syamlal,Independent,85,0,85,0.06
KAZHAKKOOTTAM,132,8,Adv. Sen A. G.,Independent,71,5,76,0.05
VATTIYOORKAVU,133,1,Adv.V.K.PRASANTH,Communist Party of India  (Marxist),59193,1918,61111,44.4
VATTIYOORKAVU,133,2,N.MURALI,Bahujan Samaj Party,413,6,419,0.3
VATTIYOORKAVU,133,3,Adv.V.V.RAJESH,Bharatiya Janata Party,38558,1038,39596,28.77
VATTIYOORKAVU,133,4,Adv.VEENA.S.NAIR,Indian National Congress,34292,1163,35455,25.76
VATTIYOORKAVU,133,5,A.SHYJU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),200,1,201,0.15
VATTIYOORKAVU,133,6,NOTA,None of the Above,844,10,854,0.62
THIRUVANANTHAPURAM,134,1,KRISHNAKUMAR G,Bharatiya Janata Party,34371,625,34996,27.29
THIRUVANANTHAPURAM,134,2,V .S .Sivakumar,Indian National Congress,40804,855,41659,32.49
THIRUVANANTHAPURAM,134,3,Adv.ANTONY RAJU,Janadhipathiya Kerala Congress,47950,798,48748,38.01
THIRUVANANTHAPURAM,134,4,A .Saboora,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),356,10,366,0.29
THIRUVANANTHAPURAM,134,5,ABHILASH VADAKKAN,Independent,433,3,436,0.34
THIRUVANANTHAPURAM,134,6,ANTONY RAJU S/o Raju,Independent,185,5,190,0.15
THIRUVANANTHAPURAM,134,7,KRISHNAKUMAR T .S S/o Sankarankutty,Independent,87,2,89,0.07
THIRUVANANTHAPURAM,134,8,CHALA MOHANAN D,Independent,238,7,245,0.19
NEMOM,135,1,Kummanam Rajasekharan,Bharatiya Janata Party,50856,1032,51888,35.54
NEMOM,135,2,K.Muraleedharan,Indian National Congress,35532,992,36524,25.01
NEMOM,135,3,D.Vijayan,Bahujan Samaj Party,352,4,356,0.24
